iso3c,continent,sub_region
AFG,Asia,Southern Asia
ALA,Europe,Northern Europe
ALB,Europe,Southern Europe
DZA,Africa,Northern Africa
ASM,Oceania,Polynesia
AND,Europe,Southern Europe
AGO,Africa,Middle Africa
AIA,Americas,Caribbean
ATA,,
ATG,Americas,Caribbean
ARG,Americas,South America
ARM,Asia,Western Asia
ABW,Americas,Caribbean
AUS,Oceania,Australia and New Zealand
AUT,Europe,Western Europe
AZE,Asia,Western Asia
BHS,Americas,Caribbean
BHR,Asia,Western Asia
BGD,Asia,Southern Asia
BRB,Americas,Caribbean
BLR,Europe,Eastern Europe
BEL,Europe,Western Europe
BLZ,Americas,Central America
BEN,Africa,Western Africa
BMU,Americas,Northern America
BTN,Asia,Southern Asia
BOL,Americas,South America
BES,Americas,Caribbean
BIH,Europe,Southern Europe
BWA,Africa,Southern Africa
BVT,,
BRA,Americas,South America
IOT,,
BRN,Asia,South-Eastern Asia
BGR,Europe,Eastern Europe
BFA,Africa,Western Africa
BDI,Africa,Eastern Africa
KHM,Asia,South-Eastern Asia
CMR,Africa,Middle Africa
CAN,Americas,Northern America
CPV,Africa,Western Africa
CYM,Americas,Caribbean
CAF,Africa,Middle Africa
TCD,Africa,Middle Africa
CHL,Americas,South America
CHN,Asia,Eastern Asia
CXR,,
CCK,,
COL,Americas,South America
COM,Africa,Eastern Africa
COG,Africa,Middle Africa
COD,Africa,Middle Africa
COK,Oceania,Polynesia
CRI,Americas,Central America
CIV,Africa,Western Africa
HRV,Europe,Southern Europe
CUB,Americas,Caribbean
CUW,Americas,Caribbean
CYP,Asia,Western Asia
CZE,Europe,Eastern Europe
DNK,Europe,Northern Europe
DJI,Africa,Eastern Africa
DMA,Americas,Caribbean
DOM,Americas,Caribbean
ECU,Americas,South America
EGY,Africa,Northern Africa
SLV,Americas,Central America
GNQ,Africa,Middle Africa
ERI,Africa,Eastern Africa
EST,Europe,Northern Europe
ETH,Africa,Eastern Africa
FLK,Americas,South America
FRO,Europe,Northern Europe
FJI,Oceania,Melanesia
FIN,Europe,Northern Europe
FRA,Europe,Western Europe
GUF,Americas,South America
PYF,Oceania,Polynesia
ATF,,
GAB,Africa,Middle Africa
GMB,Africa,Western Africa
GEO,Asia,Western Asia
DEU,Europe,Western Europe
GHA,Africa,Western Africa
GIB,Europe,Southern Europe
GRC,Europe,Southern Europe
GRL,Americas,Northern America
GRD,Americas,Caribbean
GLP,Americas,Caribbean
GUM,Oceania,Micronesia
GTM,Americas,Central America
GGY,Europe,Northern Europe
GIN,Africa,Western Africa
GNB,Africa,Western Africa
GUY,Americas,South America
HTI,Americas,Caribbean
HMD,,
VAT,Europe,Southern Europe
HND,Americas,Central America
HKG,Asia,Eastern Asia
HUN,Europe,Eastern Europe
ISL,Europe,Northern Europe
IND,Asia,Southern Asia
IDN,Asia,South-Eastern Asia
IRN,Asia,Southern Asia
IRQ,Asia,Western Asia
IRL,Europe,Northern Europe
IMN,Europe,Northern Europe
ISR,Asia,Western Asia
